,Character,Series,Release Date,Uhrzeit,Wishlist
0,Thorkell,Vinland Saga,01.10.2023,1:00,❤️ 100
1,Onikiri,Kamisama Kiss,01.10.2023,1:10,
2,Houtarou Oreki,Hyouka,01.10.2023,1:30,❤️ 224
3,Nozomu Nanashima,"Kiss Him, Not Me",01.10.2023,1:40,
4,Yan Qing,Fate/Grand Order,01.10.2023,2:10,
5,Cal's Pocket Watch,Phantom: Requiem for the Phantom,01.10.2023,2:30,
6,Fubuki,Senran Kagura: New Link,01.10.2023,2:40,❤️ 137
7,Jude Mathis,Tales of Xillia,01.10.2023,3:00,
8,Purple Heart,Hyperdimension Neptunia,01.10.2023,3:10,
9,Rozaliya Olenyeva,Honkai Impact 3rd,01.10.2023,1:00,
10,Sukuna,Jujutsu Kaisen,01.10.2023,1:10,❤️ 5226
11,Nagisa Shiota,Assassination Classroom,01.10.2023,1:30,❤️ 393
12,Mare Bello Fiore,Overlord,01.10.2023,1:40,
13,Lily,I'm Quitting Heroing,01.10.2023,2:10,
14,Shizue Izawa,That Time I Got Reincarnated as a Slime,01.10.2023,2:30,❤️ 128
15,Cheria Barnes,Tales of Graces,01.10.2023,5:20,
16,Dolce,Log Horizon,01.10.2023,5:30,
17,Mikoto Suoh,K-Project,01.10.2023,5:50,
18,Siegbert,Fire Emblem Fates,01.10.2023,6:00,
19,Yuwa Akebi,Akebi's Sailor Uniform,01.10.2023,6:20,
20,Ryouko Mendou,Urusei Yatsura,01.10.2023,6:30,
21,Otohiko,Kamisama Kiss,01.10.2023,7:00,
22,Kyoji Kasshu,Mobile Fighter G Gundam,01.10.2023,7:20,
23,Maxi,Soulcalibur,01.10.2023,7:30,
24,Pippo,Doraemon: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,01.10.2023,7:50,
25,Farma de Médicis,Parallel World Pharmacy,01.10.2023,8:10,
26,Siegfried,Granblue Fantasy,01.10.2023,8:20,
27,Yamato Ichidaiji,Megaton-kyuu Musashi,01.10.2023,8:40,
28,Jahy,The Great Jahy Will Not Be Defeated!,01.10.2023,8:50,❤️ 184
29,Rei Suzukawa,Mankitsu Happening,01.10.2023,9:10,❤️ 321
30,18+,Himegoto,01.10.2023,9:20,
31,Michio Hazama,The iDOLM@STER SideM,01.10.2023,9:40,
32,Tomono Kojo,Akebi's Sailor Uniform,01.10.2023,9:50,
33,Rei Sakuma,Ensemble Stars!,01.10.2023,10:10,❤️ 118
34,Captain Silver,Doraemon: Nobita's Treasure Island,01.10.2023,10:20,
35,Tomoko Sakurai,Heaven's Lost Property,01.10.2023,11:10,
36,Homura Akemi,Puella Magi Madoka Magica,01.10.2023,11:30,❤️ 415
37,Jiro Yamada,Hypnosis Mic: Division Rap Battle - Rhyme Anima,01.10.2023,12:00,
38,Uta Koizumi,Selection Project,01.10.2023,12:10,
39,Saori Hidaka,D4DJ First Mix,01.10.2023,12:30,
40,Ria Karasuma,Healer Girl,01.10.2023,12:40,
41,Natsuhiko Hyuuga,Toilet-Bound Hanako-kun,01.10.2023,13:00,
42,Shiho Hinomori,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,01.10.2023,13:10,❤️ 94
43,Shizuka Minamoto,Doraemon (1979),01.10.2023,13:30,
44,Nicrom,Shaman King,01.10.2023,13:40,
45,Yukina Himeragi,Strike the Blood,01.10.2023,14:00,❤️ 136
46,Leon Scott Kennedy,Resident Evil: Damnation,01.10.2023,14:10,❤️ 522
47,Yuki Aoba,Rumble Garanndoll,01.10.2023,14:30,
48,Genbu Kurono,The iDOLM@STER SideM,01.10.2023,15:20,
49,Hayate Makami,Rumble Garanndoll,01.10.2023,15:30,
50,Ruka Sarashina,"Kanojo, Okarishimasu",01.10.2023,16:00,❤️ 273
51,Fraw Bow,Mobile Suit Gundam,01.10.2023,16:20,
52,Musashi Sashigami,Rumble Garanndoll,01.10.2023,16:30,
53,Nanaka Kotegawa,Grand Blue,01.10.2023,16:50,
54,Kanna Kamiyama,Demon King Daimao,01.10.2023,17:00,
55,Raphael Sorel,Soulcalibur II,01.10.2023,17:20,
56,Chibi Dragon,Endro~!,01.10.2023,17:30,
57,Jumin Han,Mystic Messenger,01.10.2023,17:50,❤️ 184
58,Red,"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside",01.10.2023,18:00,
59,Franky Franklin,Spy x Family,01.10.2023,18:20,
60,Chizuru Maki,DREAM!ing,01.10.2023,18:40,
61,Tadashi Yamaguchi,Haikyuu!!,01.10.2023,18:50,
62,Hikari Kagura,Shoujo Kageki Revue Starlight,01.10.2023,19:20,
63,Rizu Ogata,We Never Learn,01.10.2023,19:40,
64,Hina Satou,The Day I Became a God,01.10.2023,19:50,
65,Yu Ishigami,Kaguya-sama: Love Is War,01.10.2023,20:10,❤️ 293
66,Koyomi Araragi,Bakemonogatari,01.10.2023,20:20,❤️ 137
67,Milla Maxwell,Tales of Xillia,01.10.2023,20:40,
68,Miku Hatsune,Hatsune Miku: Downloader,01.10.2023,20:50,❤️ 1206
69,Miu Iruma,Danganronpa V3: Killing Harmony,01.10.2023,21:10,❤️ 164
70,Shouya Ishida,A Silent Voice,01.10.2023,21:20,❤️ 274
71,Hiro,DARLING in the FRANXX,01.10.2023,22:00,❤️ 148
72,Cthune,Haiyore! Nyaruko-san W,01.10.2023,22:10,
73,Jaune Arc,RWBY,01.10.2023,22:30,
74,Mokona Modoki,xxxHOLiC,01.10.2023,22:40,
75,Kanon,Umineko: When They Cry,01.10.2023,23:00,
76,Victor Nikiforov,Yuri!!! on Ice,01.10.2023,23:10,❤️ 208
77,Shining Gundam,Mobile Fighter G Gundam,01.10.2023,23:30,
78,Male Morgan,Fire Emblem Awakening,01.10.2023,23:40,
79,Henken Bekkener,Mobile Suit Zeta Gundam,02.10.2023,0:00,
80,Kubo,Vampire in the Garden,02.10.2023,0:10,
81,Ako Tamaki,And you thought there is never a girl online?,02.10.2023,0:30,
82,Nanachi,Made in Abyss,02.10.2023,0:40,❤️ 318
83,Diona,Genshin Impact,02.10.2023,1:00,❤️ 133
84,Takumi,Fire Emblem Fates,02.10.2023,1:20,
85,Adam Yuriev,#Compass,02.10.2023,1:30,
86,Morihito Arihara,TsukiPro the Animation,02.10.2023,1:50,
87,Miko Iino,Kaguya-sama: Love Is War,02.10.2023,2:00,❤️ 138
88,Paprika,Paprika,02.10.2023,2:20,
89,Gohan,Dragon Ball Z,02.10.2023,2:50,❤️ 371
90,Carmilla,Castlevania Season 2,02.10.2023,3:00,
91,Ryouko Suzunome,Shinobi no Ittoki,02.10.2023,3:30,
92,Uncle Chen,Scissor Seven,02.10.2023,3:50,
